Time,x,y,z,yaw,v_x,v_y,v_z,r_x,r_y,r_z,a_x,a_y,a_z
12.00,3.781993,0.387542,0.000000,0.152970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.344883,6.108629,0.000000
12.10,3.782369,0.387669,0.000000,0.153065,0.023273,0.004020,0.000000,0.000000,0.000000,0.005654,-2.037761,6.113557,0.000000
12.20,3.785699,0.388788,0.000000,0.153906,0.075361,0.013018,0.000000,0.000000,0.000000,0.018309,-1.767165,6.134550,0.000000
12.30,3.794670,0.391649,0.000000,0.155940,0.151163,0.017274,0.000000,0.000000,0.000000,0.024296,-0.886623,6.675856,0.000000
12.40,3.811536,0.396032,0.000000,0.158329,0.243253,0.013792,0.000000,0.000000,0.000000,0.019398,0.107404,6.693157,0.000000
12.50,3.837818,0.401360,0.000000,0.159881,0.342605,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.999716,-2.006351,0.000000
12.60,3.874166,0.406660,0.000000,0.159101,0.439482,-0.024917,0.000000,0.000000,0.000000,-0.035046,0.086079,-6.855089,0.000000
12.70,3.920284,0.410664,0.000000,0.154445,0.524388,-0.059925,0.000000,0.000000,0.000000,-0.084283,-0.918228,-6.778836,0.000000
12.80,3.974923,0.411950,0.000000,0.144576,0.589002,-0.101743,0.000000,0.000000,0.000000,-0.143099,-1.872098,-6.364983,0.000000
12.90,4.035816,0.410115,0.000000,0.129992,0.626992,-0.108306,0.000000,0.000000,0.000000,-0.152329,-2.187004,-6.448040,0.000000
13.00,4.099771,0.407242,0.000000,0.114665,0.634637,-0.109626,0.000000,0.000000,0.000000,-0.154186,-2.500673,-6.455979,0.000000
13.10,4.163657,0.403391,0.000000,0.099342,0.611187,-0.105576,0.000000,0.000000,0.000000,-0.148489,-2.808140,-6.453407,0.000000
13.20,4.224351,0.398809,0.000000,0.084770,0.558939,-0.096550,0.000000,0.000000,0.000000,-0.135795,-3.078652,-6.438658,0.000000
13.30,4.279055,0.393896,0.000000,0.071621,0.483002,-0.083433,0.000000,0.000000,0.000000,-0.117346,-3.283783,-6.407192,0.000000
13.40,4.325563,0.389125,0.000000,0.060428,0.390805,-0.067507,0.000000,0.000000,0.000000,-0.094947,-3.402942,-6.359475,0.000000
13.50,4.362479,0.384942,0.000000,0.051534,0.291360,-0.050329,0.000000,0.000000,0.000000,-0.070787,-3.425692,-6.302222,0.000000
13.60,4.389341,0.381673,0.000000,0.045055,0.194391,-0.033579,0.000000,0.000000,0.000000,-0.047228,-3.351133,-6.243914,0.000000
13.70,4.406666,0.379460,0.000000,0.040874,0.109377,-0.018894,0.000000,0.000000,0.000000,-0.026573,-3.186927,-6.191408,0.000000
13.80,4.415893,0.378247,0.000000,0.038646,0.044628,-0.007709,0.000000,0.000000,0.000000,-0.010842,-2.948630,-6.149417,0.000000
13.90,4.419240,0.377801,0.000000,0.037837,0.006477,-0.001119,0.000000,0.000000,0.000000,-0.001574,-2.658727,-6.121135,0.000000
14.00,4.419565,0.377768,0.000000,0.037775,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-2.344883,-6.108629,0.000000
14.10,4.419959,0.377716,0.000000,0.037680,0.023273,-0.004020,0.000000,0.000000,0.000000,-0.005654,-2.037757,-6.113546,0.000000
14.20,4.423441,0.377248,0.000000,0.036839,0.075361,-0.013018,0.000000,0.000000,0.000000,-0.018309,-1.767007,-6.134137,0.000000
14.30,4.432797,0.375979,0.000000,0.034579,0.151163,-0.026112,0.000000,0.000000,0.000000,-0.036725,-1.559958,-6.169611,0.000000
14.40,4.450231,0.373567,0.000000,0.030365,0.243253,-0.042019,0.000000,0.000000,0.000000,-0.059099,-1.437694,-6.217348,0.000000
14.50,4.477147,0.369711,0.000000,0.023855,0.342605,-0.059181,0.000000,0.000000,0.000000,-0.083236,-1.412927,-6.273458,0.000000
14.60,4.514004,0.364162,0.000000,0.014932,0.439482,-0.075916,0.000000,0.000000,0.000000,-0.106773,-1.488203,-6.332181,0.000000
14.70,4.560271,0.356747,0.000000,0.003714,0.524388,-0.090582,0.000000,0.000000,0.000000,-0.127401,-1.655242,-6.385601,0.000000
14.80,4.614480,0.348221,0.000000,-0.008310,0.589002,-0.067309,0.000000,0.000000,0.000000,-0.094668,-1.099786,-6.612401,0.000000
14.90,4.674446,0.341603,0.000000,-0.016714,0.626992,-0.035549,0.000000,0.000000,0.000000,-0.049998,-0.072859,-3.003226,0.000000
