time,x,y,z,yaw,v_x,v_y,v_z
22.140000,-4.262166,6.933166,0.000000,-3.622818,3.218412,-0.461726,0.000000
22.150000,-4.288558,6.952156,0.000000,-3.638402,3.245879,-0.468875,0.000000
22.160000,-4.314858,6.971748,0.000000,-3.643335,3.210297,-0.464773,0.000000
22.170000,-4.340768,6.991263,0.000000,-3.658752,3.237865,-0.472713,0.000000
22.180000,-4.366576,7.011381,0.000000,-3.663519,3.202430,-0.461513,0.000000
22.190000,-4.392035,7.031347,0.000000,-3.679164,3.230106,-0.468949,0.000000
22.200000,-4.417379,7.051915,0.000000,-3.684160,3.194949,-0.466602,0.000000
22.210000,-4.442331,7.072407,0.000000,-3.699519,3.222720,-0.475206,0.000000
22.220000,-4.467155,7.093501,0.000000,-3.704231,3.187612,-0.463927,0.000000
22.230000,-4.491643,7.114428,0.000000,-3.719820,3.215490,-0.472006,0.000000
22.240000,-4.515991,7.135955,0.000000,-3.724763,3.180716,-0.465235,0.000000
22.250000,-4.539979,7.157354,0.000000,-3.740290,3.208690,-0.473737,0.000000
22.260000,-4.563815,7.179350,0.000000,-3.745172,3.174091,-0.463486,0.000000
22.270000,-4.587317,7.201182,0.000000,-3.760822,3.202167,-0.471797,0.000000
22.280000,-4.610655,7.223610,0.000000,-3.765829,3.167801,-0.466970,0.000000
22.290000,-4.633630,7.245914,0.000000,-3.781287,3.195966,-0.476117,0.000000
22.300000,-4.656428,7.268812,0.000000,-3.786103,3.161685,-0.463857,0.000000
22.310000,-4.678915,7.291516,0.000000,-3.801790,3.189955,-0.472458,0.000000
22.320000,-4.701214,7.314811,0.000000,-3.806835,3.155985,-0.468163,0.000000
22.330000,-4.723155,7.337974,0.000000,-3.822277,3.184338,-0.477759,0.000000
22.340000,-4.744895,7.361727,0.000000,-3.827080,3.150387,-0.465300,0.000000
22.350000,-4.766337,7.385272,0.000000,-3.842750,3.178843,-0.474342,0.000000
22.360000,-4.787566,7.409404,0.000000,-3.847780,3.145242,-0.467832,0.000000
22.370000,-4.808461,7.433374,0.000000,-3.863308,3.173783,-0.477525,0.000000
22.380000,-4.829131,7.457927,0.000000,-3.868198,3.140293,-0.464396,0.000000
22.390000,-4.849517,7.482260,0.000000,-3.883952,3.168937,-0.473530,0.000000
22.400000,-4.869667,7.507172,0.000000,-3.889068,3.135740,-0.470353,0.000000
22.410000,-4.889467,7.531938,0.000000,-3.904471,3.164456,-0.480807,0.000000
22.420000,-4.909019,7.557280,0.000000,-3.909239,3.131122,-0.468000,0.000000
22.430000,-4.928299,7.582392,0.000000,-3.924869,3.159938,-0.477885,0.000000
22.440000,-4.947319,7.608075,0.000000,-3.929863,3.127050,-0.466944,0.000000
22.450000,-4.966055,7.633542,0.000000,-3.945557,3.155959,-0.476784,0.000000
22.460000,-4.984520,7.659577,0.000000,-3.950617,3.123278,-0.468701,0.000000
22.470000,-5.002685,7.685412,0.000000,-3.966204,3.152268,-0.479052,0.000000
22.480000,-5.020567,7.711811,0.000000,-3.971158,3.119710,-0.465550,0.000000
22.490000,-5.038197,7.737966,0.000000,-3.986939,3.148799,-0.475426,0.000000
22.500000,-5.055531,7.764680,0.000000,-3.992087,3.116515,-0.471209,0.000000
22.510000,-5.072546,7.791212,0.000000,-4.007525,3.145672,-0.482356,0.000000
22.520000,-5.089254,7.818298,0.000000,-4.012331,3.113194,-0.468753,0.000000
22.530000,-5.105726,7.845128,0.000000,-4.027994,3.142450,-0.479317,0.000000
22.540000,-5.121879,7.872506,0.000000,-4.033026,3.110457,-0.467839,0.000000
22.550000,-5.137782,7.899644,0.000000,-4.048735,3.139802,-0.478395,0.000000
22.560000,-5.153355,7.927324,0.000000,-4.053814,3.108006,-0.469075,0.000000
22.570000,-5.168666,7.954775,0.000000,-4.069440,3.137432,-0.480044,0.000000
22.580000,-5.183635,7.982763,0.000000,-4.074437,3.105758,-0.466524,0.000000
22.590000,-5.198383,8.010491,0.000000,-4.090211,3.135279,-0.477144,0.000000
22.600000,-5.212779,8.038749,0.000000,-4.095358,3.103862,-0.470876,0.000000
22.610000,-5.226898,8.066789,0.000000,-4.110862,3.133452,-0.482515,0.000000
22.620000,-5.240652,8.095354,0.000000,-4.115739,3.101891,-0.467990,0.000000
22.630000,-5.254209,8.123643,0.000000,-4.131463,3.131581,-0.479037,0.000000
22.640000,-5.267391,8.152450,0.000000,-4.136563,3.100479,-0.469400,0.000000
22.650000,-5.280337,8.181011,0.000000,-4.152189,3.130248,-0.480896,0.000000
22.660000,-5.292895,8.210084,0.000000,-4.157191,3.099254,-0.466386,0.000000
22.670000,-5.305269,8.238880,0.000000,-4.172990,3.129120,-0.477439,0.000000
22.680000,-5.317244,8.268181,0.000000,-4.178166,3.098403,-0.471525,0.000000
22.690000,-5.328962,8.297249,0.000000,-4.193643,3.128334,-0.483752,0.000000
22.700000,-5.340271,8.326815,0.000000,-4.198497,3.097357,-0.468901,0.000000
