time,throttle,steering
6.880000,0.321861,1.000000
6.890000,0.325419,1.000000
6.900000,0.327343,1.000000
6.910000,0.331033,1.000000
6.920000,0.332973,1.000000
6.930000,0.336798,1.000000
6.940000,0.338756,1.000000
6.950000,0.342722,1.000000
6.960000,0.344699,1.000000
6.970000,0.348810,1.000000
6.980000,0.350809,1.000000
6.990000,0.355070,1.000000
7.000000,0.357094,1.000000
7.010000,0.361513,1.000000
7.020000,0.363567,1.000000
7.030000,0.368153,1.000000
7.040000,0.370243,1.000000
7.050000,0.375001,1.000000
7.060000,0.377124,1.000000
7.070000,0.382066,1.000000
7.080000,0.384222,1.000000
7.090000,0.389353,1.000000
7.100000,0.391555,1.000000
7.110000,0.396874,1.000000
7.120000,0.399129,1.000000
7.130000,0.404649,1.000000
7.140000,0.406940,1.000000
7.150000,0.412683,1.000000
7.160000,0.415017,1.000000
7.170000,0.420973,1.000000
7.180000,0.423389,1.000000
7.190000,0.429552,1.000000
7.200000,0.432036,1.000000
7.210000,0.438454,1.000000
7.220000,0.440954,1.000000
7.230000,0.447648,1.000000
7.240000,0.450225,1.000000
7.250000,0.457134,1.000000
7.260000,0.459870,1.000000
7.270000,0.467008,1.000000
7.280000,0.469787,1.000000
7.290000,0.477300,1.000000
7.300000,0.480037,1.000000
7.310000,0.487869,1.000000
7.320000,0.490812,1.000000
7.330000,0.498777,1.000000
7.340000,0.502019,1.000000
7.350000,0.510309,1.000000
7.360000,0.513389,1.000000
7.370000,0.522339,1.000000
7.380000,0.525316,1.000000
7.390000,0.534456,1.000000
7.400000,0.538085,1.000000
7.410000,0.547094,1.000000
7.420000,0.551131,1.000000
7.430000,0.560991,1.000000
7.440000,0.564125,1.000000
7.450000,0.575060,1.000000
7.460000,0.578408,1.000000
7.470000,0.588822,1.000000
7.480000,0.593953,1.000000
7.490000,0.603731,1.000000
7.500000,0.608696,1.000000
7.510000,0.622136,1.000000
7.520000,0.625910,1.000000
7.530000,0.638791,1.000000
7.540000,0.642880,1.000000
7.550000,0.655114,1.000000
7.560000,0.661246,1.000000
7.570000,0.672884,1.000000
7.580000,0.678792,1.000000
7.590000,0.694427,1.000000
7.600000,0.698701,1.000000
7.610000,0.714122,1.000000
7.620000,0.719330,1.000000
7.630000,0.733405,1.000000
7.640000,0.741453,1.000000
7.650000,0.754991,1.000000
7.660000,0.761960,1.000000
7.670000,0.781763,1.000000
7.680000,0.787434,1.000000
7.690000,0.805433,1.000000
7.700000,0.812468,1.000000
7.710000,0.829214,1.000000
7.720000,0.838731,1.000000
7.730000,0.855923,1.000000
7.740000,0.864077,1.000000
7.750000,0.886393,1.000000
7.760000,0.893006,1.000000
7.770000,0.914482,1.000000
7.780000,0.924518,1.000000
7.790000,0.942939,1.000000
7.800000,0.955315,1.000000
7.810000,0.976900,1.000000
7.820000,0.986153,1.000000
7.830000,1.000000,1.000000
7.840000,1.000000,1.000000
7.850000,1.000000,1.000000
7.860000,1.000000,1.000000
